source,target
app/ScrollSectionsWrapper.jsx,src/assets/data/sections.ts
app/ScrollSectionsWrapper.jsx,src/utils/scrollUtils.ts
src/utils/scrollUtils.ts,src/utils/context/ScrollContext.tsx
src/utils/scrollUtils.ts,src/utils/fnScrollUtils.ts
src/utils/scrollUtils.ts,src/utils/updateMenuUtils.ts
src/utils/scrollUtils.ts,src/assets/data/menuItems.ts
src/utils/context/ScrollContext.tsx,src/utils/context/utils/createUseContext.tsx
src/utils/updateMenuUtils.ts,src/utils/context/NavigationContext.tsx
src/utils/context/NavigationContext.tsx,src/utils/context/utils/createUseContext.tsx
src/assets/data/menuItems.ts,src/assets/data/content/index.ts
src/assets/data/content/index.ts,src/assets/data/content/about.ts
src/assets/data/content/index.ts,src/assets/data/content/contact.ts
src/assets/data/content/index.ts,src/assets/data/content/info.ts
src/assets/data/content/index.ts,src/assets/data/content/services.ts
src/assets/data/content/index.ts,src/assets/data/content/slider.ts
app/headerProps.jsx,src/assets/data/menuItems.ts
app/headerProps.jsx,src/components/header/Header.tsx
app/headerProps.jsx,src/utils/context/NavigationContext.tsx
app/headerProps.jsx,src/utils/fnScrollUtils.ts
src/components/header/Header.tsx,src/utils/context/NavigationContext.tsx
src/components/header/Header.tsx,src/utils/context/ScrollContext.tsx
src/components/header/Header.tsx,src/utils/fnScrollUtils.ts
src/components/header/Header.tsx,src/utils/scrollUtils.ts
src/components/header/Header.tsx,src/utils/updateMenuUtils.ts
src/components/header/Header.tsx,src/components/svg_Icon/Logo.jsx
src/components/header/Header.tsx,src/components/header/Nav.tsx
src/components/header/Header.tsx,src/components/header/utils/useResize.ts
src/components/header/Header.tsx,src/assets/data/menuItems.ts
src/components/header/Nav.tsx,src/utils/context/NavigationContext.tsx
src/components/header/Nav.tsx,src/utils/updateMenuUtils.ts
src/components/header/Nav.tsx,src/components/header/navInput/NavInput.tsx
src/components/header/Nav.tsx,src/components/header/navLink/NavLinkShow.tsx
src/components/header/navInput/NavInput.tsx,src/components/header/utils/menuUtils.ts
src/components/header/navInput/NavInput.tsx,src/components/header/navInput/RenderInput.tsx
src/components/header/navInput/NavInput.tsx,src/components/header/navInput/SubResult.tsx
src/components/header/navInput/NavInput.tsx,src/components/header/navInput/useSearchHandler.tsx
src/components/header/navInput/RenderInput.tsx,src/components/header/utils/HiddenDelayComponent.tsx
src/components/header/navInput/RenderInput.tsx,src/components/header/utils/menuUtils.ts
src/components/header/navInput/RenderInput.tsx,src/components/header/navInput/RenderInputButton.tsx
src/components/header/navInput/RenderInputButton.tsx,src/components/svg_Icon/SearchClose.jsx
src/components/header/navInput/RenderInputButton.tsx,src/components/header/svgComponents.ts
src/components/header/svgComponents.ts,src/components/svg_Icon/Blog.jsx
src/components/header/svgComponents.ts,src/components/svg_Icon/Connection.jsx
src/components/header/svgComponents.ts,src/components/svg_Icon/Contact.jsx
src/components/header/svgComponents.ts,src/components/svg_Icon/Home.jsx
src/components/header/svgComponents.ts,src/components/svg_Icon/Logo.jsx
src/components/header/svgComponents.ts,src/components/svg_Icon/Reservation.jsx
src/components/header/svgComponents.ts,src/components/svg_Icon/Search.jsx
src/components/header/svgComponents.ts,src/components/svg_Icon/Services.jsx
src/components/header/svgComponents.ts,src/components/svg_Icon/Tarifs.jsx
src/components/header/navInput/useSearchHandler.tsx,src/utils/context/SearchContext.tsx
src/components/header/navInput/useSearchHandler.tsx,src/utils/searchMenu.js
src/components/header/navInput/useSearchHandler.tsx,src/utils/searchUtils.ts
src/components/header/navInput/useSearchHandler.tsx,src/utils/useURLParams.tsx
src/utils/context/SearchContext.tsx,src/utils/initializeMenu.ts
src/utils/initializeMenu.ts,src/assets/data/content/index.ts
src/utils/initializeMenu.ts,src/assets/data/menuItems.ts
src/utils/initializeMenu.ts,src/assets/data/utils/attachContent.ts
src/components/header/navLink/NavLinkShow.tsx,src/components/header/utils/menuUtils.ts
src/components/header/navLink/NavLinkShow.tsx,src/components/header/navLink/RenderLink.tsx
src/components/header/navLink/NavLinkShow.tsx,src/components/header/navLink/SubMenu.tsx
src/components/header/navLink/RenderLink.tsx,src/utils/context/NavigationContext.tsx
src/components/header/navLink/RenderLink.tsx,src/components/header/svgComponents.ts
src/components/header/navLink/RenderLink.tsx,src/components/header/utils/HiddenDelayComponent.tsx
src/components/header/navLink/RenderLink.tsx,src/components/header/utils/menuUtils.ts
src/components/header/navLink/SubMenu.tsx,src/utils/context/NavigationContext.tsx
app/layout.tsx,src/assets/styles/main.scss
app/layout.tsx,src/utils/context/ScrollContext.tsx
app/layout.tsx,app/headerProps.jsx
app/layout.tsx,app/ScrollSectionsWrapper.jsx
app/layout.tsx,src/components/loader/Loader.jsx
app/layout.tsx,src/utils/context/SearchContext.tsx
